url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes value,Selectasize values
http://www.myntra.com/men-accessories,"AMERICAN TOURISTER\nUnisex Purple & Grey Backpack\nRs. 1,250Rs. 750(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1469559/2016/8/22/11471862455557-AMERICAN-TOURISTER-Unisex-Backpacks-9141471862455344-1_mini.jpg",AMERICAN TOURISTER,Unisex Purple & Grey Backpack,"Rs. 1,250",Rs. 750,(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Teakwood Leathers\nMen Black & Brown Reversible Genuine Leather Belt\nRs. 1,499Rs. 674(55% off)\nSizes: 34, 36, 38, 40, 42, 44","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1158696/2016/7/29/11469777538547-Teakwood-Leathers-Men-Black--Brown-Reversible-Leather-Belt-2951469777532248-1_mini.jpg",Teakwood Leathers,Men Black & Brown Reversible Genuine Leather Belt,"Rs. 1,499",Rs. 674,(55% off),"Sizes: 34, 36, 38, 40, 42, 44",34; 36; 38; 40; 42; 44
http://www.myntra.com/men-accessories,"Floyd\nUnisex Aviator Sunglasses 28\nRs. 1,299Rs. 389(70% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/Floyd-Unisex-Aviator-Sunglasses-28_733449fdc555f6432a993c7e9c6874b5_images_mini.jpg",Floyd,Unisex Aviator Sunglasses 28,"Rs. 1,299",Rs. 389,(70% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Nike\nUnisex Black & White Brasilia 7 Printed Backpack\nRs. 3,295Rs. 1,977(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1421500/2016/7/26/11469514995995-Nike-Unisex-Backpacks-661469514995677-1_mini.jpg",Nike,Unisex Black & White Brasilia 7 Printed Backpack,"Rs. 3,295","Rs. 1,977",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Skybags\nUnisex Sea Green & Grey Footloose Leo Printed Backpack\nRs. 2,200Rs. 1,100(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1380798/2016/6/28/11467107707508-Skybags-Unisex-Sea-Green--Grey-Footloose-Leo-Printed-Backpack-2811467107707196-1_mini.jpg",Skybags,Unisex Sea Green & Grey Footloose Leo Printed Backpack,"Rs. 2,200","Rs. 1,100",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Puma\nUnisex Blue duraBASE Backpack\nRs. 1,699Rs. 1,104(35% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1497356/2016/9/22/11474542088862-Puma-Unisex-Blue-duraBASE-Backpack-491474542088476-1_mini.jpg",Puma,Unisex Blue duraBASE Backpack,"Rs. 1,699","Rs. 1,104",(35% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"AMERICAN TOURISTER\nUnisex Black Comet Backpack\nRs. 3,400Rs. 1,700(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1355653/2016/6/6/11465210209154-AMERICAN-TOURISTER-Unisex-Black-Comet-Backpack-2561465210208827-1_mini.jpg",AMERICAN TOURISTER,Unisex Black Comet Backpack,"Rs. 3,400","Rs. 1,700",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Pronto\nUnisex Blue Medium Vectra Upright 68 Trolley Suitcase\nRs. 7,390Rs. 2,956(60% off)\nSizes: M","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1062216/2016/6/14/11465881252354-Pronto-Unisex-Blue-Medium-Vectra-Upright-68-Trolley-Suitcase-471465881251800-1_mini.jpg",Pronto,Unisex Blue Medium Vectra Upright 68 Trolley Suitcase,"Rs. 7,390","Rs. 2,956",(60% off),Sizes: M,M
http://www.myntra.com/men-accessories,"Nike\nBlue Brasilia 6 Medium Training Duffle Bag\nRs. 2,295Rs. 1,377(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/Nike-Unisex-Blue-Duffle-Bag_0defcd1671b421dba5e5e30f706bfbde_images_mini.jpg",Nike,Blue Brasilia 6 Medium Training Duffle Bag,"Rs. 2,295","Rs. 1,377",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Skybags\nUnisex Navy Backpack\nRs. 1,599Rs. 959(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1276506/2016/4/22/11461322036603-Skybags-Unisex-Navy-Backpack-9721461322035854-1_mini.jpg",Skybags,Unisex Navy Backpack,"Rs. 1,599",Rs. 959,(40% off),Sizes: Onesize,Onesize
