url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes value,Selectasize value
http://www.myntra.com/men-watches-wearables-menu,"Roadster\nMen Black Dial Watch RD13-A\nRs. 2,799Rs. 1,679(40% off)\nSizes: ONESIZE","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1487825/2016/10/28/11477652529855-Roadster-Men-Black-Dial-Watch-RD13-A-6991477652529545-1_mini.jpg",Roadster,Men Black Dial Watch RD13-A,"Rs. 2,799","Rs. 1,679",(40% off),Sizes: ONESIZE,ONESIZE
http://www.myntra.com/men-watches-wearables-menu,"Daniel Klein\nExclusive Men Blue Dial Watch DK11053-3\nRs. 7,850Rs. 3,925(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1506811/2016/10/14/11476435172468-Daniel-Klein-Exclusive-Men-Blue-Dial-Watch-DK11053-3-411476435172265-1_mini.jpg",Daniel Klein,Exclusive Men Blue Dial Watch DK11053-3,"Rs. 7,850","Rs. 3,925",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Fastrack\nMen Silver-Toned Dial Chronograph Watch 38002PP01J\nRs. 4,295Rs. 2,147(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493284/2016/9/22/11474539070519-Fastrack-Men-Silver-Toned-Dial-Chronograph-Watch-38002PP01J-4741474539070407-1_mini.jpg",Fastrack,Men Silver-Toned Dial Chronograph Watch 38002PP01J,"Rs. 4,295","Rs. 2,147",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Roadster\nMen Beige & Brown Camouflage Print Dial Watch MFB-PN-Y-9572\nRs. 2,499Rs. 1,249(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1154741/2016/10/2/11475399419660-Roadster-Men-Beige--Brown-Camouflage-Print-Dial-Watch-MFB-PN-Y-9572-3871475399419407-1_mini.jpg",Roadster,Men Beige & Brown Camouflage Print Dial Watch MFB-PN-Y-9572,"Rs. 2,499","Rs. 1,249",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Daniel Klein\nExclusive Men Navy Dial Watch DK11019-6\nRs. 7,750Rs. 3,875(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1386356/2016/6/23/11466677457346-Daniel-Klein-Exclusive-Men-Blue-Dial-Watch-DK11019-6-6001466677457213-1_mini.jpg",Daniel Klein,Exclusive Men Navy Dial Watch DK11019-6,"Rs. 7,750","Rs. 3,875",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Sonata\nMen White Digital Watch 77026PP02J\nRs. 1,499Rs. 899(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493407/2016/9/14/11473846015049-Sonata-Men-Watches-1731473846014816-1_mini.jpg",Sonata,Men White Digital Watch 77026PP02J,"Rs. 1,499",Rs. 899,(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Mast & Harbour\nUnisex Teal Blue Analogue Watch MFB-PN-WTH-S9538-1\nRs. 2,999Rs. 1,499(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1461459/2016/10/12/11476270007957-Mast--Harbour-Unisex-Teal-Blue-Analogue-Watch-MFB-PN-WTH-S9538-1-3281476270007711-1_mini.jpg",Mast & Harbour,Unisex Teal Blue Analogue Watch MFB-PN-WTH-S9538-1,"Rs. 2,999","Rs. 1,499",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Fastrack\nMen Chronograph Red Analogue Watch 38005PP03J\nRs. 3,995Rs. 1,997(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493289/2016/9/23/11474616735226-Fastrack-Men-Chronograph-Red-Analogue-Watch-38005PP03J-9691474616735037-1_mini.jpg",Fastrack,Men Chronograph Red Analogue Watch 38005PP03J,"Rs. 3,995","Rs. 1,997",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Daniel Klein\nExclusive Men Gunmetal-Toned Dial Watch DK11010-4\nRs. 5,100Rs. 2,550(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1386342/2016/6/29/11467198818155-Daniel-Klein-Exclusive-Men-Gunmetal-Toned-Dial-Watch-DK11010-4-81467198817798-1_mini.jpg",Daniel Klein,Exclusive Men Gunmetal-Toned Dial Watch DK11010-4,"Rs. 5,100","Rs. 2,550",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"CASIO\nEDIFICE EX176 EFR-534SG-7AVDF\nRs. 10,995\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/338030/Casio-Edifice-Men-Silver-Toned-Dial-Watch-EX176_1_1d4d05712db126f373bfce33499f372d_mini.jpg",CASIO,EDIFICE EX176 EFR-534SG-7AVDF,,"Rs. 10,995",,Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Titan\nMen Grey Dial Watch 90028QL02J\nRs. 6,495Rs. 3,247(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493342/2016/9/22/11474541130083-Titan-Men-Grey-Dial-Watch-90028QL02J-3031474541130036-1_mini.jpg",Titan,Men Grey Dial Watch 90028QL02J,"Rs. 6,495","Rs. 3,247",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Fastrack\nMen Grey Dial Chronograph Watch 3111SL03\nRs. 4,795Rs. 2,397(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493283/2016/9/22/11474539060842-Fastrack-Men-Grey-Dial-Chronograph-Watch-3111SL03-7881474539060682-1_mini.jpg",Fastrack,Men Grey Dial Chronograph Watch 3111SL03,"Rs. 4,795","Rs. 2,397",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Camerii\nMen Off-White & Brown Dial Watch WM151\nRs. 1,199Rs. 479(60% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1028281/2016/3/9/11457522039425-Camerii-Men-Off-White--Brown-Dial-Watch-WM151-4571457522038232-1_mini.jpg",Camerii,Men Off-White & Brown Dial Watch WM151,"Rs. 1,199",Rs. 479,(60% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Daniel Klein\nExclusive Men Black Textured Dial Watch DK10822-4\nRs. 7,950Rs. 3,975(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1491621/2016/9/29/11475144474312-Daniel-Klein-Exclusive-Men-Black-Textured-Dial-Watch-DK10822-4-2671475144474153-1_mini.jpg",Daniel Klein,Exclusive Men Black Textured Dial Watch DK10822-4,"Rs. 7,950","Rs. 3,975",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Fastrack\nMen Blue Dial Chronograph Watch 38002PP03J\nRs. 4,295Rs. 2,147(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493286/2016/9/22/11474539076403-Fastrack-Men-Blue-Dial-Chronograph-Watch-38002PP03J-5551474539076288-1_mini.jpg",Fastrack,Men Blue Dial Chronograph Watch 38002PP03J,"Rs. 4,295","Rs. 2,147",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Fossil\nMen Black Chronograph Dial Watch CH2600IE\nRs. 6,495\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1485600/2016/9/22/11474530004820-Fossil-Men-Black-Chronograph-Dial-Watch-CH2600IE-3011474530004549-1_mini.jpg",Fossil,Men Black Chronograph Dial Watch CH2600IE,,"Rs. 6,495",,Sizes: Onesize,Onesize
