url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes value,Selectasize values
http://www.myntra.com/men-footwear,"Nike\nMen Black & Fluorescent Green Air Epic Speed Training Shoes\nRs. 5,295Rs. 3,177(40% off)\nSizes: US8, US9, US10, US11, US11.5, US12","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1504151/2016/9/23/11474632204321-Nike-Men-Black-Training-Shoes-211474632204081-1_mini.jpg",Nike,Men Black & Fluorescent Green Air Epic Speed Training Shoes,"Rs. 5,295","Rs. 3,177",(40% off),"Sizes: US8, US9, US10, US11, US11.5, US12",US8; US9; US10; US11; US11.5; US12
http://www.myntra.com/men-footwear,"Roadster\nMen White Sneakers\nRs. 2,199Rs. 1,319(40% off)\nSizes: 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1446674/2016/8/11/11470898318340-Roadster-Men-White-Sneakers-3981470898318016-1_mini.jpg",Roadster,Men White Sneakers,"Rs. 2,199","Rs. 1,319",(40% off),"Sizes: 7, 8, 9, 10, 11",7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"Puma\nMen Grey Brilliance DP Running Shoes\nRs. 2,999Rs. 1,949(35% off)\nSizes: 6, 7, 8, 9, 10","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1410587/2016/7/1/11467362392720-PUMA-Men-Grey-Brilliance-IDP-Running-Shoes-6251467362392524-1_mini.jpg",Puma,Men Grey Brilliance DP Running Shoes,"Rs. 2,999","Rs. 1,949",(35% off),"Sizes: 6, 7, 8, 9, 10",6; 7; 8; 9; 10
http://www.myntra.com/men-footwear,"Adidas\nMen Navy Kray 1.0 Running Shoes\nRs. 4,299Rs. 2,579(40% off)\nSizes: 6, 7, 8, 9, 10, 11, 12","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1461601/2016/8/30/11472541096637-Adidas-Men-Navy-Blue-Running-Shoes-3811472541096440-1_mini.jpg",Adidas,Men Navy Kray 1.0 Running Shoes,"Rs. 4,299","Rs. 2,579",(40% off),"Sizes: 6, 7, 8, 9, 10, 11, 12",6; 7; 8; 9; 10; 11; 12
http://www.myntra.com/men-footwear,"HRX by Hrithik Roshan\nMen Blue Running Shoes\nRs. 3,499Rs. 2,099(40% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1362315/2016/9/20/11474348569059-HRX-by-Hrithik-Roshan-Men-Sports-Shoes-2801474348569143-1_mini.jpg",HRX by Hrithik Roshan,Men Blue Running Shoes,"Rs. 3,499","Rs. 2,099",(40% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"Adidas\nMen Black Galaxy 2 Running Shoes\nRs. 5,799Rs. 3,479(40% off)\nSizes: 6, 7, 8, 9, 10, 11, 12","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1461537/2016/8/30/11472540288193-Adidas-Men-Black-Galaxy-2-Running-Shoes-7111472540288034-1_mini.jpg",Adidas,Men Black Galaxy 2 Running Shoes,"Rs. 5,799","Rs. 3,479",(40% off),"Sizes: 6, 7, 8, 9, 10, 11, 12",6; 7; 8; 9; 10; 11; 12
http://www.myntra.com/men-footwear,"Puma\nMen Black Splendor DP Running Shoes\nRs. 2,899Rs. 2,029(30% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1434915/2016/7/21/11469095643050-Puma-Men-Sports-Shoes-5411469095642721-1_mini.jpg",Puma,Men Black Splendor DP Running Shoes,"Rs. 2,899","Rs. 2,029",(30% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"FOOTLODGE\nMen Brown Formal Shoes\nRs. 2,399Rs. 959(60% off)\nSizes: 6, 7, 8, 9, 10","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1154141/2016/1/7/11452145690608-FOOTLODGE-Men-Brown-Formal-Shoes-7441452145690128-1_mini.jpg",FOOTLODGE,Men Brown Formal Shoes,"Rs. 2,399",Rs. 959,(60% off),"Sizes: 6, 7, 8, 9, 10",6; 7; 8; 9; 10
http://www.myntra.com/men-footwear,"HRX by Hrithik Roshan\nMen Navy Running Shoes\nRs. 3,499Rs. 2,099(40% off)\nSizes: 6, 7, 8, 9, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1368780/2016/6/14/11465896989560-HRX-by-Hrithik-Roshan-Men-Navy-Running-Shoes-8041465896989214-1_mini.jpg",HRX by Hrithik Roshan,Men Navy Running Shoes,"Rs. 3,499","Rs. 2,099",(40% off),"Sizes: 6, 7, 8, 9, 11",6; 7; 8; 9; 11
http://www.myntra.com/men-footwear,"San Frissco\nMen Black Formal Shoes\nRs. 2,495Rs. 1,122(55% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/922404/San-Frissco-Men-Black-Leather-Formal-Shoes_1_a6934faa53c70d30c4b1a8c23ee5f295_mini.jpg",San Frissco,Men Black Formal Shoes,"Rs. 2,495","Rs. 1,122",(55% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"Reebok\nMen Black Athletic Run 2.0 Running Shoes\nRs. 2,499Rs. 1,499(40% off)\nSizes: 6, 7, 8, 9, 10, 11","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1502531/2016/9/21/11474439856492-Reebok-Men-Sports-Shoes-3141474439856340-1_mini.jpg",Reebok,Men Black Athletic Run 2.0 Running Shoes,"Rs. 2,499","Rs. 1,499",(40% off),"Sizes: 6, 7, 8, 9, 10, 11",6; 7; 8; 9; 10; 11
http://www.myntra.com/men-footwear,"Puma\nMen Black Court Point Vulc Casual Shoes\nRs. 4,499Rs. 2,474(45% off)\nSizes: 6, 7, 8, 9, 10, 11, 12","http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/935381/PUMA-Men-Black-Court-Point-Vulc-Casual-Shoes_1_23f454cbeee51a21af9328017b8edae0_mini.jpg",Puma,Men Black Court Point Vulc Casual Shoes,"Rs. 4,499","Rs. 2,474",(45% off),"Sizes: 6, 7, 8, 9, 10, 11, 12",6; 7; 8; 9; 10; 11; 12
