url,Images,Item Description_link,Number of Ratings,Memory,Display,Camera,Battery,Processor,Warranty,Price
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/g/t/g/intex-cloud-string-v2-na-original-imaekzjvvkdazchk.jpeg?q=70,"Intex Cloud String v2.0 (Champagne, 16 GB)",1888 Ratings,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,5 inch HD Display,8MP Primary Camera | 5MP Front,2200 mAh Battery,SC9832A Cortex-A7 Processor,1 Year Manufacturer Warranty,₹5000
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/q/d/f/samsung-galaxy-j5-2016-sm-j510fzkuins-original-imaeg8czxypfsu4t.jpeg?q=70,"SAMSUNG Galaxy J5 - 6 (New 2016 Edition) (Black, 16 GB)",27889 Ratings,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,5.2 inch HD Display,13MP Primary Camera | 5MP Front,3100 mAh Li-Ion Battery,Qualcomm MSM8916 Processor,1 Year Manufacturer Warranty,₹10000
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/s/s/k/intex-cloud-glory-na-original-imaejfzycpyxh89k.jpeg?q=70,"Intex Cloud Glory 4G (White, 8 GB)",1300 Ratings,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,4.5 inch FWVGA Display,5MP Primary Camera | 2MP Front,1800 mAh Li-Ion Battery,ARM Cortex-A53 MT6735M Processor,1 Year Manufacturer Warranty,
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/g/a/b/lenovo-vibe-k5-plus-a6020a46-original-imaegu5zagahzghj.jpeg?q=70,"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)",23817 Ratings,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,5 inch Full HD Display,13MP Primary Camera | 5MP Front,2750 mAh Li-Ion Polymer Battery,Qualcomm Snapdragon 616 Processor,1 Year Manufacturer Warranty,₹6500
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/x/f/h/letv-le-1s-le-x507-original-imaeftkjgxz7zbfy.jpeg?q=70,"LeEco Le 1S (Silver, 32 GB)",34305 Ratings,3 GB RAM | 32 GB ROM |,5.5 inch Full HD Display,13MP Primary Camera | 5MP Front,3000 mAh Li ion - Polymer Battery,Helio X10 Turbo MTK 6795T Processor,1 Year Manufacturer Warranty,
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/u/3/u/asus-ze551ml-ze551ml-6j333ww-original-imae6kggzusrx2cw.jpeg?q=70,"Asus Zenfone 2 ZE551ML (Silver, 16 GB)",11377 Ratings,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,5.5 inch Full HD Display,13MP Primary Camera | 5MP Front,3000 mAh Li-Polymer Battery,Intel Atom Z3560 Processor,1 Year for Mobile & 6 Months for Accessories,
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/w/d/d/huawei-honor-6-h60-l04-original-imaeyawxdytjhwjn.jpeg?q=70,"Honor 6 (White, 16 GB)",4433 Ratings,3 GB RAM | 16 GB ROM | Expandable Upto 64 GB,5 inch Full HD Display,13MP Primary Camera | 5MP Front,3000 mAh Battery,Kirin 920 Processor,1 Year for Mobile & 6 Months for Accessories,₹12000
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/v/z/z/intex-cloud-glory-na-original-imaejfzyfmswrkjp.jpeg?q=70,https://www.flipkart.com/intex-cloud-glory-4g-black-8-gb/p/itmej2cyhgttgw9g?pid=MOBEJ2CYC7Y3KVZZ&srno=b_1_50&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEJ2CYC7Y3KVZZCDGVPP,https://www.flipkart.com/intex-cloud-glory-4g-black-8-gb/p/itmej2cyhgttgw9g?pid=MOBEJ2CYC7Y3KVZZ&srno=b_1_50&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEJ2CYC7Y3KVZZCDGVPP,https://www.flipkart.com/intex-cloud-glory-4g-black-8-gb/p/itmej2cyhgttgw9g?pid=MOBEJ2CYC7Y3KVZZ&srno=b_1_50&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEJ2CYC7Y3KVZZCDGVPP,https://www.flipkart.com/intex-cloud-glory-4g-black-8-gb/p/itmej2cyhgttgw9g?pid=MOBEJ2CYC7Y3KVZZ&srno=b_1_50&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEJ2CYC7Y3KVZZCDGVPP,https://www.flipkart.com/intex-cloud-glory-4g-black-8-gb/p/itmej2cyhgttgw9g?pid=MOBEJ2CYC7Y3KVZZ&srno=b_1_50&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEJ2CYC7Y3KVZZCDGVPP,https://www.flipkart.com/intex-cloud-glory-4g-black-8-gb/p/itmej2cyhgttgw9g?pid=MOBEJ2CYC7Y3KVZZ&srno=b_1_50&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEJ2CYC7Y3KVZZCDGVPP,https://www.flipkart.com/intex-cloud-glory-4g-black-8-gb/p/itmej2cyhgttgw9g?pid=MOBEJ2CYC7Y3KVZZ&srno=b_1_50&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEJ2CYC7Y3KVZZCDGVPP,https://www.flipkart.com/intex-cloud-glory-4g-black-8-gb/p/itmej2cyhgttgw9g?pid=MOBEJ2CYC7Y3KVZZ&srno=b_1_50&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEJ2CYC7Y3KVZZCDGVPP,
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/g/w/g/htc-desire-828-dual-sim-na-original-imaednystsx3uujj.jpeg?q=70,https://www.flipkart.com/htc-desire-828-dual-sim-pearl-white-16-gb/p/itmedcxdybzacdrz?pid=MOBEDCXDGEBKZGWG&srno=b_1_51&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEDCXDGEBKZGWGJWCO18,https://www.flipkart.com/htc-desire-828-dual-sim-pearl-white-16-gb/p/itmedcxdybzacdrz?pid=MOBEDCXDGEBKZGWG&srno=b_1_51&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEDCXDGEBKZGWGJWCO18,https://www.flipkart.com/htc-desire-828-dual-sim-pearl-white-16-gb/p/itmedcxdybzacdrz?pid=MOBEDCXDGEBKZGWG&srno=b_1_51&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEDCXDGEBKZGWGJWCO18,https://www.flipkart.com/htc-desire-828-dual-sim-pearl-white-16-gb/p/itmedcxdybzacdrz?pid=MOBEDCXDGEBKZGWG&srno=b_1_51&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEDCXDGEBKZGWGJWCO18,https://www.flipkart.com/htc-desire-828-dual-sim-pearl-white-16-gb/p/itmedcxdybzacdrz?pid=MOBEDCXDGEBKZGWG&srno=b_1_51&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEDCXDGEBKZGWGJWCO18,https://www.flipkart.com/htc-desire-828-dual-sim-pearl-white-16-gb/p/itmedcxdybzacdrz?pid=MOBEDCXDGEBKZGWG&srno=b_1_51&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEDCXDGEBKZGWGJWCO18,https://www.flipkart.com/htc-desire-828-dual-sim-pearl-white-16-gb/p/itmedcxdybzacdrz?pid=MOBEDCXDGEBKZGWG&srno=b_1_51&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEDCXDGEBKZGWGJWCO18,https://www.flipkart.com/htc-desire-828-dual-sim-pearl-white-16-gb/p/itmedcxdybzacdrz?pid=MOBEDCXDGEBKZGWG&srno=b_1_51&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles&lid=LSTMOBEDCXDGEBKZGWGJWCO18,
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/p/m/b/alcatel-onetouch-flash-6042d-original-imae2yc95hbzev9c.jpeg?q=70,"Alcatel Onetouch Flash 6042D (Crystal White, 8 GB)",2226 Ratings,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,5.5 inch HD Display,13MP Primary Camera | 5MP Front,3200 mAh Battery,MTK 6592M Processor,1 Year for Mobile & 6 Months for Accessories,
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/w/t/n/motorola-moto-g-3rd-generation-ap3560ae7k8-original-imae9h4h8gkbpq56.jpeg?q=70,"Moto G (3rd Generation) (Black, 16 GB)",73074 Ratings,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,5 inch HD Display,13MP Primary Camera | 5MP Front,2470 mAh Battery,Qualcomm Snapdragon 410 MSM8916 Processor,1 Year Manufacturer Warranty,
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/r/f/c/motorola-xt1068-original-imadzmftdsmnqx3k.jpeg?q=70,"Moto G (2nd Generation) (Black, 16 GB)",68066 Ratings,1 GB RAM | 16 GB ROM | Expandable Upto 32 GB,5 inch HD Display,8MP Primary Camera | 2MP Front,2070 mAh Battery,Qualcomm Snapdragon 400 Processor,1 Year Manufacturer Warranty,
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/u/3/u/asus-ze551ml-ze551ml-6j333ww-original-imae6kggzusrx2cw.jpeg?q=70,"Asus Zenfone 2 ZE551ML (Silver, 32 GB)",11377 Ratings,4 GB RAM | 32 GB ROM | Expandable Upto 64 GB,5.5 inch Full HD Display,13MP Primary Camera | 5MP Front,3000 mAh Li-Polymer Battery,Intel Atom Z3580 Processor,1 Year for Mobile & 6 Months for Accessories,
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/y/g/m/asus-ze550ml-ze550ml-1a076ww-original-imae6qafassv5kcz.jpeg?q=70,"Asus Zenfone 2 ZE550ML (White, 16 GB)",4309 Ratings,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,5.5 inch HD Display,13MP Primary Camera | 5MP Front,3000 mAh Li-Polymer Battery,Intel Atom Z3560 Processor,1 Year for Mobile & 6 Months for Accessories,
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/y/g/m/asus-ze550ml-ze550ml-1a076ww-original-imae6qafassv5kcz.jpeg?q=70,"Asus Zenfone 2 ZE550ML (Black, 16 GB)",4309 Ratings,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,5.5 inch HD Display,13MP Primary Camera | 5MP Front,3000 mAh Li-Polymer Battery,Intel Atom Z3560 Processor,1 Year for Mobile & 6 Months for Accessories,
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/h/a/h/intex-cloud-4g-smart-na-original-imaeehyqsgecfzdm.jpeg?q=70,"Intex Cloud 4G Smart (White & Champagne, 8 GB)",810 Ratings,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,5 inch FWVGA Display,5MP Primary Camera | 2MP Front,2000 mAh Li-Ion Battery,Cortex-A53 SC9830 Processor,1 Year Manufacturer Warranty,
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/p/u/2/alcatel-onetouch-idol-x-plus-original-imadwrf9mtbwy5up.jpeg?q=70,"Alcatel Onetouch Idol X Plus (White, 16 GB)",2474 Ratings,2 GB RAM | 16 GB ROM |,5 inch Full HD Display,13.1MP Primary Camera | 2MP Front,2500 mAh Lithium Battery,1 Year for Mobile & 6 Months for Accessories,,
"https://www.flipkart.com/mobiles/~mobileexclusives/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_FK%20Exclusive%20Mobiles",https://rukminim1.flixcart.com/image/312/312/mobile/d/h/f/motorola-xt1068-original-imadzm9ayhcfem8z.jpeg?q=70,"Moto G (2nd Generation) (White, 16 GB)",68066 Ratings,1 GB RAM | 16 GB ROM | Expandable Upto 32 GB,5 inch HD Display,8MP Primary Camera | 2MP Front,2070 mAh Battery,Qualcomm Snapdragon 400 Processor,1 Year Manufacturer Warranty,
