,Product link,Product link_link,Thumb image,Thumb image_alt,Brand value,Product value,Strike value,Price value,Discount value,Sizes value
,"Mast & Harbour\nMen Yellow & Off-White Colourblocked Pullover Sweatshirt\nRs. 1,299Rs. 909(30% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/mast--harbour/mast--harbour-men-yellow--off-white-colourblocked-pullover-sweatshirt/1345934/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1345934/2016/10/19/11476874395828-Mast--Harbour-Men-Sweatshirts-2661476874395562-1_mini.jpg",Mast & Harbour Men Yellow & Off-White Colourblocked Pullover Sweatshirt,Mast & Harbour,Men Yellow & Off-White Colourblocked Pullover Sweatshirt,"Rs. 1,299",Rs. 909,(30% off),"Sizes: S, M, L, XL"
,"Avoir Envie\nRed & Grey Slim Fit Polo T-shirt\nRs. 999Rs. 599(40% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/tshirts/avoir-envie/avoir-envie-red--grey-slim-fit-polo-t-shirt/1327516/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1327516/2016/4/27/11461738258307-Avoir-Envie-Men-Tshirts-7451461738257827-1_mini.jpg",Avoir Envie Red & Grey Slim Fit Polo T-shirt,Avoir Envie,Red & Grey Slim Fit Polo T-shirt,Rs. 999,Rs. 599,(40% off),"Sizes: S, M, L, XL, XXL"
,"Roadster\nPack of 3 T-shirts\nRs. 899Rs. 719(20% off)\nSizes: S, M, L",http://www.myntra.com/tshirts/roadster/roadster-pack-of-3-t-shirts/1072845/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1072845/2015/12/23/11450877604244-Roadster-Men-Tshirts-6491450877603748-1_mini.jpg",Roadster Pack of 3 T-shirts,Roadster,Pack of 3 T-shirts,Rs. 899,Rs. 719,(20% off),"Sizes: S, M, L"
,"Adidas NEO\nNavy CE LG FT Printed Sweatshirt\nRs. 1,999Rs. 1,299(35% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/sweatshirts/adidas-neo/adidas-neo-navy-ce-lg-ft-printed-sweatshirt/1497655/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1497655/2016/9/20/11474366794720-Adidas-NEO-Navy-CE-LG-FT-Printed-Sweatshirt-81474366794497-1_mini.jpg",Adidas NEO Navy CE LG FT Printed Sweatshirt,Adidas NEO,Navy CE LG FT Printed Sweatshirt,"Rs. 1,999","Rs. 1,299",(35% off),"Sizes: S, M, L, XL, XXL"
,"Tommy Hilfiger\nOlive Brown Quilted Jacket\nRs. 9,999\nSizes: S, M, L, XL",http://www.myntra.com/jackets/tommy-hilfiger/tommy-hilfiger-olive-brown-quilted-jacket/1046604/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1046604/2016/10/13/11476344054466-Tommy-Hilfiger-Men-Jackets-8951476344054149-1_mini.jpg",Tommy Hilfiger Olive Brown Quilted Jacket,Tommy Hilfiger,Olive Brown Quilted Jacket,,"Rs. 9,999",,"Sizes: S, M, L, XL"
,"HRX by Hrithik Roshan\nOlive Faux Leather Bomber Jacket\nRs. 3,999Rs. 3,199(20% off)\nSizes: M, L, XL, XXL",http://www.myntra.com/jackets/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-olive-faux-leather-bomber-jacket/1352657/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1352657/2016/9/14/11473843310666-HRX-by-Hrithik-Roshan-Olive-Green-Bomber-Jacket-3231473843310480-1_mini.jpg",HRX by Hrithik Roshan Olive Faux Leather Bomber Jacket,HRX by Hrithik Roshan,Olive Faux Leather Bomber Jacket,"Rs. 3,999","Rs. 3,199",(20% off),"Sizes: M, L, XL, XXL"
,"HIGHLANDER\nMen Navy & Maroon Slim Fit Checked Casual Shirt\nRs. 999Rs. 499(50% off)\nSizes: 38, 40, 42, 44",http://www.myntra.com/shirts/highlander/highlander-men-navy--maroon-slim-fit-checked-casual-shirt/1536754/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1536754/2016/9/28/11475044882446-HIGHLANDER-Men-Navy-Blue-Slim-Fit-Checked-Casual-Shirt-2861475044882164-1_mini.jpg",HIGHLANDER Men Navy & Maroon Slim Fit Checked Casual Shirt,HIGHLANDER,Men Navy & Maroon Slim Fit Checked Casual Shirt,Rs. 999,Rs. 499,(50% off),"Sizes: 38, 40, 42, 44"
,"Duke\nStardust Men Printed Pack of 3 Round Neck T-Shirts\nRs. 865\nSizes: M, L, XL, XXL",http://www.myntra.com/tshirts/duke/duke-stardust-men-printed-pack-of-3-round-neck-t-shirts/1554405/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1554405/2016/10/26/11477468421149-Duke-Men-Tshirts-7261477468420959-1_mini.jpg",Duke Stardust Men Printed Pack of 3 Round Neck T-Shirts,Duke,Stardust Men Printed Pack of 3 Round Neck T-Shirts,,Rs. 865,,"Sizes: M, L, XL, XXL"
,"Flying Machine\nNavy Jacket\nRs. 3,999Rs. 2,399(40% off)\nSizes: S, L, XL, XXL",http://www.myntra.com/jackets/flying-machine/flying-machine-navy-jacket/1044926/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1044926/2015/11/24/11448360815987-Flying-Machine-Navy-Jacket-7091448360815842-1_mini.jpg",Flying Machine Navy Jacket,Flying Machine,Navy Jacket,"Rs. 3,999","Rs. 2,399",(40% off),"Sizes: S, L, XL, XXL"
,"Roadster\nRDSTR Beige Biker Jacket\nRs. 3,999Rs. 2,799(30% off)\nSizes: M, L, XL, XXL",http://www.myntra.com/jackets/roadster/rdstr-beige-biker-jacket/1340690/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1340690/2016/9/16/11474026748203-RDSTR-Beige-Biker-Jacket-1651474026748159-1_mini.jpg",RDSTR Beige Biker Jacket,Roadster,RDSTR Beige Biker Jacket,"Rs. 3,999","Rs. 2,799",(30% off),"Sizes: M, L, XL, XXL"
