,Product link,Product link_link,Thumb image,Thumb image_alt,Brand value,Product value,Strike value,Price value,Discount value,Sizes value
,"Campus Sutra\nBlue Denim Hooded Sweatshirt\nRs. 1,399Rs. 699(50% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/sweatshirts/campus-sutra/campus-sutra-blue-denim-hooded-sweatshirt/886039/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/886039/Campus-Sutra-Blue-Sweatshirt_1_60b46b8626d8936c3ca53520a50354d9_mini.jpg",Campus Sutra Blue Denim Hooded Sweatshirt,Campus Sutra,Blue Denim Hooded Sweatshirt,"Rs. 1,399",Rs. 699,(50% off),"Sizes: S, M, L, XL, XXL"
,"HIGHLANDER\nNavy Slim Washed Denim Casual Shirt\nRs. 999Rs. 599(40% off)\nSizes: 39, 40, 42, 44",http://www.myntra.com/shirts/highlander/highlander-navy-slim-washed-denim-casual-shirt/1265400/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1265400/2016/3/31/11459425024839-Highlander-Navy-Denim-Slim-Casual-Shirt-7541459425024234-1_mini.jpg",Highlander Navy Slim Washed Denim Casual Shirt,HIGHLANDER,Navy Slim Washed Denim Casual Shirt,Rs. 999,Rs. 599,(40% off),"Sizes: 39, 40, 42, 44"
,"Roadster\nNavy & Beige Sweater\nRs. 1,499Rs. 1,049(30% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweaters/roadster/roadster-navy--beige-sweater/1317695/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1317695/2016/9/1/11472735176525-Roadster-Navy--Beige-Sweater-691472735176150-1_mini.jpg",Roadster Navy & Beige Sweater,Roadster,Navy & Beige Sweater,"Rs. 1,499","Rs. 1,049",(30% off),"Sizes: S, M, L, XL"
,"Antony Morato\nMen Black & Blue Patterned Sweater\nRs. 6,999Rs. 4,899(30% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/sweaters/antony-morato/antony-morato-men-black--blue-patterned-sweater/1482063/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1482063/2016/9/19/11474279040588-Antony-Morato-Men-Black-Striped-Sweater-7541474279040206-1_mini.jpg",Antony Morato Men Black & Blue Patterned Sweater,Antony Morato,Men Black & Blue Patterned Sweater,"Rs. 6,999","Rs. 4,899",(30% off),"Sizes: S, M, L, XL, XXL"
,"Marks & Spencer\nNavy Linen Casual Shirt\nRs. 1,799Rs. 1,349(25% off)\nSizes: 39/40, 41, 42, 43",http://www.myntra.com/shirts/marks--spencer/marks--spencer-navy-linen-casual-shirt/1080737/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1080737/2015/11/26/11448534571851-Marks--Spencer-Navy-Linen-Casual-Shirt-1721448534571203-1_mini.jpg",Marks & Spencer Navy Linen Casual Shirt,Marks & Spencer,Navy Linen Casual Shirt,"Rs. 1,799","Rs. 1,349",(25% off),"Sizes: 39/40, 41, 42, 43"
,"Moda Rapido\nNavy & White Striped T-shirt\nRs. 749\nSizes: S, L, XL",http://www.myntra.com/tshirts/moda-rapido/moda-rapido-navy--white-striped-t-shirt/1010692/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1010692/2015/10/15/11444900832024-Moda-Rapido-Navy--White-Striped-T-shirt--9461444900831770-1_mini.jpg",Moda Rapido Navy & White Striped T-shirt,Moda Rapido,Navy & White Striped T-shirt,,Rs. 749,,"Sizes: S, L, XL"
,"Antony Morato\nMen Black Colourblocked Round Neck T-shirt\nRs. 2,499Rs. 1,749(30% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/tshirts/antony-morato/antony-morato-men-black-colourblocked-round-neck-t-shirt/1475809/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1475809/2016/9/19/11474277161513-Antony-Morato-Men-Black-Colour-Blocked-Round-Neck-T-Shirt-8951474277160847-1_mini.jpg",Antony Morato Men Black Colourblocked Round Neck T-shirt,Antony Morato,Men Black Colourblocked Round Neck T-shirt,"Rs. 2,499","Rs. 1,749",(30% off),"Sizes: S, M, L, XL, XXL"
,"French Connection\nBlue Printed Casual Shirt\nRs. 2,399Rs. 959(60% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/shirts/french-connection/french-connection-blue-printed-casual-shirt/1003138/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1003138/2015/11/10/11447138308184-French-Connection-Blue-Printed-Casual-Shirt-4061447138307700-1_mini.jpg",French Connection Blue Printed Casual Shirt,French Connection,Blue Printed Casual Shirt,"Rs. 2,399",Rs. 959,(60% off),"Sizes: S, M, L, XL, XXL"
,"WROGN\nMen Grey Melange & Black Colour Blocked Round Neck T-Shirt\nRs. 999Rs. 799(20% off)\nSizes: S, M, L, XL",http://www.myntra.com/tshirts/wrogn/wrogn-men-grey-melange--black-colour-blocked-round-neck-t-shirt/1427947/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1427947/2016/10/13/11476339974717-WROGN-Men-Tshirts-6701476339974534-1_mini.jpg",WROGN Men Grey Melange & Black Colour Blocked Round Neck T-Shirt,WROGN,Men Grey Melange & Black Colour Blocked Round Neck T-Shirt,Rs. 999,Rs. 799,(20% off),"Sizes: S, M, L, XL"
,"Roadster\nBlack Puffer Jacket\nRs. 1,599Rs. 1,119(30% off)\nSizes: M, L, XL, XXL",http://www.myntra.com/jackets/roadster/roadster-black-puffer-jacket/1274607/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1274607/2016/7/26/11469535737030-Roadster-Black-Puffer-Jacket-1931469535736781-1_mini.jpg",Roadster Black Puffer Jacket,Roadster,Black Puffer Jacket,"Rs. 1,599","Rs. 1,119",(30% off),"Sizes: M, L, XL, XXL"
,"Kook N Keech\nBlack Darth Vader Appliqué Sweatshirt\nRs. 1,599Rs. 959(40% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/kook-n-keech/kook-n-keech-black-darth-vader-appliqu-sweatshirt/1395962/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1395962/2016/9/9/11473415879034-Kook-N-Keech-Star-Wars-Black-Panelled-Sweatshirt-5901473415878664-1_mini.jpg",Kook N Keech Black Darth Vader Appliqué Sweatshirt,Kook N Keech,Black Darth Vader Appliqué Sweatshirt,"Rs. 1,599",Rs. 959,(40% off),"Sizes: S, M, L, XL"
,"Jack & Jones\nBlack Banana Print Polo T-Shirt\nRs. 1,495Rs. 1,046(30% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/tshirts/jack--jones/jack--jones-black-banana-print-polo-t-shirt/1390670/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1390670/2016/6/29/11467192835377-Jack--Jones-Black-Printed-Polo-T-Shirt-6111467192835195-1_mini.jpg",Jack & Jones Black Banana Print Polo T-Shirt,Jack & Jones,Black Banana Print Polo T-Shirt,"Rs. 1,495","Rs. 1,046",(30% off),"Sizes: S, M, L, XL, XXL"
,"Adidas\nBlue RS Windcheater Running Jacket\nRs. 3,499Rs. 2,099(40% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/jackets/adidas/adidas-blue-rs-windcheater-running-jacket/1416019/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1416019/2016/7/29/11469783313225-Adidas-Men-Jackets-3741469783312909-1_mini.jpg",Adidas Blue RS Windcheater Running Jacket,Adidas,Blue RS Windcheater Running Jacket,"Rs. 3,499","Rs. 2,099",(40% off),"Sizes: S, M, L, XL, XXL"
,"Moda Rapido\nMen Olive Regular Fit Solid Casual Shirt\nRs. 1,199\nSizes: 38, 39, 40, 42",http://www.myntra.com/shirts/moda-rapido/moda-rapido-men-olive-regular-fit-solid-casual-shirt/1468467/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1468467/2016/10/12/11476271162898-Moda-Rapido-Men-Olive-Regular-Fit-Solid-Casual-Shirt-1471476271162445-1_mini.jpg",Moda Rapido Men Olive Regular Fit Solid Casual Shirt,Moda Rapido,Men Olive Regular Fit Solid Casual Shirt,,"Rs. 1,199",,"Sizes: 38, 39, 40, 42"
,"ALCOTT\nGrey Casual Shirt\nRs. 1,999Rs. 1,199(40% off)\nSizes: 38, 42, 44, 46",http://www.myntra.com/shirts/alcott/alcott-grey-casual-shirt/1347976/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1347976/2016/6/2/11464871579060-ALCOTT-Grey-Casual-Shirt-4661464871578694-1_mini.jpg",ALCOTT Grey Casual Shirt,ALCOTT,Grey Casual Shirt,"Rs. 1,999","Rs. 1,199",(40% off),"Sizes: 38, 42, 44, 46"
,"Roadster\nNavy Striped Sweatshirt\nRs. 1,499Rs. 1,049(30% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/roadster/roadster-navy-striped-sweatshirt/832753/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/832753/2015/11/7/11446898016341-Roadster-Navy-Striped-Sweatshirt-8801446898015954-1_mini.jpg",Roadster Navy Striped Sweatshirt,Roadster,Navy Striped Sweatshirt,"Rs. 1,499","Rs. 1,049",(30% off),"Sizes: S, M, L, XL"
,"Mast & Harbour\nNavy Windcheater Jacket\nRs. 1,299Rs. 909(30% off)\nSizes: S, M, L, XL",http://www.myntra.com/jackets/mast--harbour/mast--harbour-navy-windcheater-jacket/1348940/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1348940/2016/8/23/11471934630251-Mast--Harbour-Navy-Windcheater-Jacket-2851471934629987-1_mini.jpg",Mast & Harbour Navy Windcheater Jacket,Mast & Harbour,Navy Windcheater Jacket,"Rs. 1,299",Rs. 909,(30% off),"Sizes: S, M, L, XL"
,"Moda Rapido\nBlack & Grey Striped T-shirt\nRs. 549\nSizes: S, M, L, XL",http://www.myntra.com/tshirts/moda-rapido/moda-rapido-black--grey-striped-t-shirt/1218765/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1218765/2016/3/3/11456990425823-Moda-Rapido-Black--Grey-Striped-T-shirt-6821456990425458-1_mini.jpg",Moda Rapido Black & Grey Striped T-shirt,Moda Rapido,Black & Grey Striped T-shirt,,Rs. 549,,"Sizes: S, M, L, XL"
,"Roadster\nCharcoal Grey Hooded Sweatshirt\nRs. 1,499Rs. 1,049(30% off)\nSizes: S, L, XL",http://www.myntra.com/sweatshirts/roadster/roadster-charcoal-grey-hooded-sweatshirt/859503/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/859503/2015/11/21/11448104105225-Roadster-Men-Sweatshirts-381448104104720-1_mini.jpg",Roadster Charcoal Grey Hooded Sweatshirt,Roadster,Charcoal Grey Hooded Sweatshirt,"Rs. 1,499","Rs. 1,049",(30% off),"Sizes: S, L, XL"
,"Nike\nBlack Printed Sweatshirt \nRs. 2,595Rs. 1,557(40% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/sweatshirts/nike/nike-black-printed-sweatshirt-/987027/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/987027/2016/9/16/11474020225364-Nike-Black-Printed-Sweatshirt--3371474020225012-1_mini.jpg",Nike Black Printed Sweatshirt,Nike,Black Printed Sweatshirt,"Rs. 2,595","Rs. 1,557",(40% off),"Sizes: S, M, L, XL, XXL"
,"Puma\nMen Black Solid Tailored Jacket\nRs. 3,499Rs. 2,449(30% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/jackets/puma/puma-men-black-solid-tailored-jacket/1454967/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1454967/2016/8/11/11470898959241-Puma-Men-Black-Solid-Insulator-Jacket-1911470898959002-1_mini.jpg",PUMA Men Black Solid Tailored Jacket,Puma,Men Black Solid Tailored Jacket,"Rs. 3,499","Rs. 2,449",(30% off),"Sizes: S, M, L, XL, XXL"
,"WROGN\nCharcoal Grey Slim Fit Sweater\nRs. 2,199Rs. 1,539(30% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/sweaters/wrogn/wrogn-charcoal-grey-slim-fit-sweater/1427867/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1427867/2016/8/8/11470651784880-WROGN-Charcoal-Grey-Slim-Fit-Sweater-9681470651784589-1_mini.jpg",WROGN Charcoal Grey Slim Fit Sweater,WROGN,Charcoal Grey Slim Fit Sweater,"Rs. 2,199","Rs. 1,539",(30% off),"Sizes: S, M, L, XL, XXL"
,"Roadster\nBlack Hooded Puffer Jacket\nRs. 2,499Rs. 1,749(30% off)\nSizes: M, L, XL, XXL",http://www.myntra.com/jackets/roadster/roadster-black-hooded-puffer-jacket/1340677/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1340677/2016/9/16/11474021226693-Roadster-Black-Hooded-Puffer-Jacket-3391474021225879-1_mini.jpg",Roadster Black Hooded Puffer Jacket,Roadster,Black Hooded Puffer Jacket,"Rs. 2,499","Rs. 1,749",(30% off),"Sizes: M, L, XL, XXL"
,"Adidas NEO\nNavy CE LG FT Printed Hooded Sweatshirt\nRs. 2,799Rs. 1,819(35% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/sweatshirts/adidas-neo/adidas-neo-navy-ce-lg-ft-printed-hooded-sweatshirt/1416061/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1416061/2016/7/29/11469776845678-Adidas-NEO-Navy-CE-LG-FT-HDY-Printed-Hooded-Sweatshirt-2991469776845359-1_mini.jpg",Adidas NEO Navy CE LG FT Printed Hooded Sweatshirt,Adidas NEO,Navy CE LG FT Printed Hooded Sweatshirt,"Rs. 2,799","Rs. 1,819",(35% off),"Sizes: S, M, L, XL, XXL"
,"Tommy Hilfiger\nOrange Jacket\nRs. 8,999Rs. 6,299(30% off)\nSizes: S, M, L, XL",http://www.myntra.com/jackets/tommy-hilfiger/tommy-hilfiger-orange-jacket/958935/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/958935/2015/9/12/11442060609001-Tommy-Hilfiger-Orange-Jacket-511442060608518-1_mini.jpg",Tommy Hilfiger Orange Jacket,Tommy Hilfiger,Orange Jacket,"Rs. 8,999","Rs. 6,299",(30% off),"Sizes: S, M, L, XL"
,"Roadster\nMen Grey Melange & Navy Striped Round Neck T-Shirt\nRs. 799Rs. 639(20% off)\nSizes: S, M, L, XL",http://www.myntra.com/tshirts/roadster/roadster-men-grey-melange--navy-striped-round-neck-t-shirt/1415992/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1415992/2016/9/16/11474014517735-Roadster-Men-Grey-Melange-Striped-Round-Neck-T-Shirt-5131474014517502-1_mini.jpg",Roadster Men Grey Melange & Navy Striped Round Neck T-Shirt,Roadster,Men Grey Melange & Navy Striped Round Neck T-Shirt,Rs. 799,Rs. 639,(20% off),"Sizes: S, M, L, XL"
,"Moda Rapido\nGreen Printed Sweatshirt\nRs. 1,049Rs. 629(40% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/moda-rapido/moda-rapido-green-printed-sweatshirt/1444764/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1444764/2016/9/8/11473316347761-Moda-Rapido-Olive-Printed-Sweatshirt-9281473316347452-1_mini.jpg",Moda Rapido Green Printed Sweatshirt,Moda Rapido,Green Printed Sweatshirt,"Rs. 1,049",Rs. 629,(40% off),"Sizes: S, M, L, XL"
,"Roadster\nMen Pack of 2 Casual Shirts\nRs. 1,799Rs. 899(50% off)\nSizes: 38, 40, 42, 44",http://www.myntra.com/shirts/roadster/roadster-men-pack-of-2-casual-shirts/1353579/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1353579/2016/8/26/11472205199655-Roadster-Men-Pack-of-2-Casual-Shirts-3501472205199383-1_mini.jpg",Roadster Men Pack of 2 Casual Shirts,Roadster,Men Pack of 2 Casual Shirts,"Rs. 1,799",Rs. 899,(50% off),"Sizes: 38, 40, 42, 44"
,"Antony Morato\nMen Black Solid Sweater\nRs. 5,999Rs. 4,199(30% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/sweaters/antony-morato/antony-morato-men-black-solid-sweater/1456704/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1456704/2016/8/17/11471427249132-Antony-Morato-Men-Sweaters-5741471427248727-1_mini.jpg",Antony Morato Men Black Solid Sweater,Antony Morato,Men Black Solid Sweater,"Rs. 5,999","Rs. 4,199",(30% off),"Sizes: S, M, L, XL, XXL"
,"Roadster\nBlue Printed Hooded Sweatshirt\nRs. 1,199Rs. 959(20% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/roadster/roadster-blue-printed-hooded-sweatshirt/836099/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/836099/2015/10/26/11445856171548-Roadster-Blue-Printed-Hooded-Sweatshirt-4281445856170980-1_mini.jpg",Roadster Blue Printed Hooded Sweatshirt,Roadster,Blue Printed Hooded Sweatshirt,"Rs. 1,199",Rs. 959,(20% off),"Sizes: S, M, L, XL"
,"Mast & Harbour\nCharcoal Grey Windcheater Jacket\nRs. 1,299Rs. 909(30% off)\nSizes: S, M, L, XL",http://www.myntra.com/jackets/mast--harbour/mast--harbour-charcoal-grey-windcheater-jacket/1348948/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1348948/2016/8/23/11471932290763-Mast--Harbour-Charcoal-Grey-Windcheater-Jacket-1471471932290911-1_mini.jpg",Mast & Harbour Charcoal Grey Windcheater Jacket,Mast & Harbour,Charcoal Grey Windcheater Jacket,"Rs. 1,299",Rs. 909,(30% off),"Sizes: S, M, L, XL"
,"HIGHLANDER\nMen Black Slim Fit Checked Casual Shirt\nRs. 999Rs. 499(50% off)\nSizes: 39, 40, 42, 44",http://www.myntra.com/shirts/highlander/highlander-men-black-slim-fit-checked-casual-shirt/1556417/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1556417/2016/10/15/11476516866342-HIGHLANDER-Men-Shirts-91476516866078-1_mini.jpg",HIGHLANDER Men Black Slim Fit Checked Casual Shirt,HIGHLANDER,Men Black Slim Fit Checked Casual Shirt,Rs. 999,Rs. 499,(50% off),"Sizes: 39, 40, 42, 44"
,"Mast & Harbour\nNavy Sweatshirt\nRs. 1,299Rs. 909(30% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/mast--harbour/mast--harbour-navy-sweatshirt/1345939/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1345939/2016/9/23/11474633725349-Mast--Harbour-Men-Sweatshirts-8471474633725044-1_mini.jpg",Mast & Harbour Navy Sweatshirt,Mast & Harbour,Navy Sweatshirt,"Rs. 1,299",Rs. 909,(30% off),"Sizes: S, M, L, XL"
,"Campus Sutra\nNavy Sweatshirt\nRs. 1,999Rs. 999(50% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/campus-sutra/campus-sutra-navy-sweatshirt/924862/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/924862/Campus-Sutra-Navy-Sweatshirt_1_455b96aa9e406dab9d1a3a88a7760890_mini.jpg",Campus Sutra Navy Sweatshirt,Campus Sutra,Navy Sweatshirt,"Rs. 1,999",Rs. 999,(50% off),"Sizes: S, M, L, XL"
,"Roadster\nMaroon Puffer Jacket\nRs. 1,599Rs. 959(40% off)\nSizes: M, L, XL, XXL",http://www.myntra.com/jackets/roadster/roadster-maroon-puffer-jacket/1274609/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1274609/2016/7/26/11469537019299-Roadster-Maroon-Puffer-Jacket-6361469537019063-1_mini.jpg",Roadster Maroon Puffer Jacket,Roadster,Maroon Puffer Jacket,"Rs. 1,599",Rs. 959,(40% off),"Sizes: M, L, XL, XXL"
,"Campus Sutra\nBlack Varsity Jacket\nRs. 1,999Rs. 999(50% off)\nSizes: S, M, L, XL",http://www.myntra.com/jackets/campus-sutra/campus-sutra-black-varsity-jacket/924999/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/924999/Campus-Sutra-Men-Jackets_1_d1c97deeebe81471543af1cb8008bb10_mini.jpg",Campus Sutra Black Varsity Jacket,Campus Sutra,Black Varsity Jacket,"Rs. 1,999",Rs. 999,(50% off),"Sizes: S, M, L, XL"
,"HRX by Hrithik Roshan\nBlue Padded Jacket\nRs. 3,799Rs. 2,659(30% off)\nSizes: M, L, XL, XXL",http://www.myntra.com/jackets/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-blue-padded-jacket/1352620/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1352620/2016/8/18/11471505958361-HRX-by-Hrithik-Roshan-Blue-Padded-Jacket-9061471505958056-1_mini.jpg",HRX by Hrithik Roshan Blue Padded Jacket,HRX by Hrithik Roshan,Blue Padded Jacket,"Rs. 3,799","Rs. 2,659",(30% off),"Sizes: M, L, XL, XXL"
,"Roadster\nBlack & Grey Sweater\nRs. 1,599Rs. 959(40% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweaters/roadster/roadster-black--grey-sweater/1317638/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1317638/2016/8/31/11472648595651-Roadster-Black--Grey-Sweater-3701472648594682-1_mini.jpg",Roadster Black & Grey Sweater,Roadster,Black & Grey Sweater,"Rs. 1,599",Rs. 959,(40% off),"Sizes: S, M, L, XL"
,"Jack & Jones\nBlue Checked Slim Fit Casual Shirt\nRs. 2,195Rs. 1,536(30% off)\nSizes: 38, 40, 42, 44, 46",http://www.myntra.com/shirts/jack--jones/jack--jones-blue-checked-slim-fit-casual-shirt/1264599/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1264599/2016/4/7/11460027234477-Jack--Jones-Blue-Checked-Slim-Fit-Casual-Shirt-7471460027233797-1_mini.jpg",Jack & Jones Blue Checked Slim Fit Casual Shirt,Jack & Jones,Blue Checked Slim Fit Casual Shirt,"Rs. 2,195","Rs. 1,536",(30% off),"Sizes: 38, 40, 42, 44, 46"
,"ether\nNavy & White Striped Polo T-shirt\nRs. 699Rs. 559(20% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/tshirts/ether/ether-navy--white-striped-polo-t-shirt/1377369/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1377369/2016/7/27/11469617049306-ETHER-Navy--White-Striped-Polo-T-shirt-2921469617049000-1_mini.jpg",ETHER Navy & White Striped Polo T-shirt,ether,Navy & White Striped Polo T-shirt,Rs. 699,Rs. 559,(20% off),"Sizes: S, M, L, XL, XXL"
,"Puma\nAlpha Block Red & Charcoal Grey Colourblocked Hooded Sweatshirt\nRs. 2,799Rs. 1,959(30% off)\nSizes: XS, S, M, L, XL, XXL",http://www.myntra.com/sweatshirts/puma/puma-alpha-block-red--charcoal-grey-colourblocked-hooded-sweatshirt/1483713/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1483713/2016/9/6/11473156718177-Puma-Alpha-Block-Red--Charcoal-Grey-Colourblocked-Hooded-Sweatshirt-1341473156718210-1_mini.jpg",Puma Alpha Block Red & Charcoal Grey Colourblocked Hooded Sweatshirt,Puma,Alpha Block Red & Charcoal Grey Colourblocked Hooded Sweatshirt,"Rs. 2,799","Rs. 1,959",(30% off),"Sizes: XS, S, M, L, XL, XXL"
,"Flying Machine\nBlack Padded Jacket\nRs. 3,799Rs. 2,279(40% off)\nSizes: S, L, XL, XXL",http://www.myntra.com/jackets/flying-machine/flying-machine-black-padded-jacket/1003728/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1003728/2016/10/28/11477636495561-Flying-Machine-Black-Padded-Jacket-2851477636495276-1_mini.jpg",Flying Machine Black Padded Jacket,Flying Machine,Black Padded Jacket,"Rs. 3,799","Rs. 2,279",(40% off),"Sizes: S, L, XL, XXL"
,"Roadster\nBlack Bomber Jacket\nRs. 2,499Rs. 1,749(30% off)\nSizes: M, L, XL, XXL",http://www.myntra.com/jackets/roadster/roadster-black-bomber-jacket/1284831/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1284831/2016/9/19/11474269791719-Roadster-Black-Bomber-Jacket-9561474269791482-1_mini.jpg",Roadster Black Bomber Jacket,Roadster,Black Bomber Jacket,"Rs. 2,499","Rs. 1,749",(30% off),"Sizes: M, L, XL, XXL"
,"Antony Morato\nCharcoal Grey & Black Patterned Bomber Jacket\nRs. 14,999Rs. 10,499(30% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/jackets/antony-morato/antony-morato-charcoal-grey--black-patterned-bomber-jacket/1481992/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1481992/2016/9/24/11474702110860-Antony-Morato-Charcoal-Grey-Printed-Jacket-1351474702110594-1_mini.jpg",Antony Morato Charcoal Grey & Black Patterned Bomber Jacket,Antony Morato,Charcoal Grey & Black Patterned Bomber Jacket,"Rs. 14,999","Rs. 10,499",(30% off),"Sizes: S, M, L, XL, XXL"
,"Mast & Harbour\nNavy Hooded Sweatshirt\nRs. 1,499Rs. 899(40% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/mast--harbour/mast--harbour-navy-hooded-sweatshirt/1345946/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1345946/2016/9/8/11473340256078-Mast--Harbour-Navy-Hooded-Sweatshirt-9531473340255864-1_mini.jpg",Mast & Harbour Navy Hooded Sweatshirt,Mast & Harbour,Navy Hooded Sweatshirt,"Rs. 1,499",Rs. 899,(40% off),"Sizes: S, M, L, XL"
,"Marks & Spencer\nNavy Tailored Chevron Sweater\nRs. 2,999Rs. 2,249(25% off)\nSizes: S, M, XL, XXL",http://www.myntra.com/sweaters/marks--spencer/marks--spencer-navy-tailored-chevron-sweater/1080750/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1080750/2016/4/5/11459833304347-Marks--Spencer-Navy-Tailored-Chevron-Sweater-4821459833303644-1_mini.jpg",Marks & Spencer Navy Tailored Chevron Sweater,Marks & Spencer,Navy Tailored Chevron Sweater,"Rs. 2,999","Rs. 2,249",(25% off),"Sizes: S, M, XL, XXL"
,"Harley-Davidson®\nHarley-Davidson Men Black Printed T-Shirt\nRs. 2,274\nSizes: S, M, L, XL",http://www.myntra.com/tshirts/harley-davidson/harley-davidson-men-black-printed-t-shirt/1525811/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1525811/2016/9/30/11475218786178-Harley-Davidson-Men-Black-Printed-Round-Neck-T-Shirt-6821475218785917-1_mini.jpg",Harley-Davidson Men Black Printed T-Shirt,Harley-Davidson®,Harley-Davidson Men Black Printed T-Shirt,,"Rs. 2,274",,"Sizes: S, M, L, XL"
