url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes description
http://www.myntra.com/men-bottomwear,"John Players\nMen Grey Slim Fit Mid-Rise Clean Look Jeans\nRs. 2,199Rs. 1,099(50% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1522204/2016/10/17/11476688075054-John-Players-Men-Jeans-4261476688074865-1_mini.jpg",John Players,Men Grey Slim Fit Mid-Rise Clean Look Jeans,"Rs. 2,199","Rs. 1,099",(50% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Roadster\nBlue Jeans\nRs. 1,999Rs. 1,399(30% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1155889/2016/5/9/11462792441669-Roadster-Men-Jeans-2261462792441536-1_mini.jpg",Roadster,Blue Jeans,"Rs. 1,999","Rs. 1,399",(30% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Moda Rapido\nKhaki Slim Fit Casual Trousers\nRs. 1,699Rs. 849(50% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1399857/2016/6/27/11467021620878-Moda-Rapido-Khaki-Slim-Fit-Casual-Trousers-8561467021620680-1_mini.jpg",Moda Rapido,Khaki Slim Fit Casual Trousers,"Rs. 1,699",Rs. 849,(50% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"LOCOMOTIVE\nBlue Acid Washed Super-Slim Fit Jeans\nRs. 3,149Rs. 1,259(60% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1422835/2016/7/29/11469794673420-Locomotive-Blue-Acid-Washed-Super-Slim-Fit-Jeans-1751469794673104-1_mini.jpg",LOCOMOTIVE,Blue Acid Washed Super-Slim Fit Jeans,"Rs. 3,149","Rs. 1,259",(60% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Lawman pg3\nMen Blue Slim Fit Jeans\nRs. 2,399Rs. 1,079(55% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1431362/2016/8/16/11471341795826-Lawman-pg3-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-9691471341795251-1_mini.jpg",Lawman pg3,Men Blue Slim Fit Jeans,"Rs. 2,399","Rs. 1,079",(55% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Reebok\nNavy DIS.CRE Training Track Pants\nRs. 1,699Rs. 1,104(35% off)\nSizes: S, M, L, XL, XXL","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1538984/2016/10/18/11476785790650-Reebok-Men-Track-Pants-9591476785790312-1_mini.jpg",Reebok,Navy DIS.CRE Training Track Pants,"Rs. 1,699","Rs. 1,104",(35% off),"Sizes: S, M, L, XL, XXL"
http://www.myntra.com/men-bottomwear,"HRX by Hrithik Roshan\nBlue Distressed Tapered Fit Jeans\nRs. 2,299Rs. 1,379(40% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1155868/2016/8/3/11470208744216-HRX-by-Hrithik-Roshan-Blue-Distressed-Tapered-Fit-Jeans-3841470208743850-1_mini.jpg",HRX by Hrithik Roshan,Blue Distressed Tapered Fit Jeans,"Rs. 2,299","Rs. 1,379",(40% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"John Players\nMen Black Slim Fit Mid-Rise Clean Look Jeans\nRs. 2,299Rs. 1,149(50% off)\nSizes: 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1522206/2016/10/17/11476685249838-John-Players-Men-Jeans-9201476685249625-1_mini.jpg",John Players,Men Black Slim Fit Mid-Rise Clean Look Jeans,"Rs. 2,299","Rs. 1,149",(50% off),"Sizes: 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Replay\nBlue Washed Anbass Slim Fit Jeans\nRs. 9,499Rs. 6,174(35% off)\nSizes: 30, 31, 32, 33, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1031603/2015/10/29/11446119018757-Replay-Blue-Washed-Anbass-Slim-Fit-Jeans-7711446119018421-1_mini.jpg",Replay,Blue Washed Anbass Slim Fit Jeans,"Rs. 9,499","Rs. 6,174",(35% off),"Sizes: 30, 31, 32, 33, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Adidas\nNavy TAP Training Track Pants\nRs. 2,599Rs. 1,689(35% off)\nSizes: M, L, XL, XXL","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1416017/2016/7/28/11469705028914-Adidas-Men-Track-Pants-2861469705028674-1_mini.jpg",Adidas,Navy TAP Training Track Pants,"Rs. 2,599","Rs. 1,689",(35% off),"Sizes: M, L, XL, XXL"
